Link ID	Link reference 	Body size reference	Geographic location	General habitat	Specific habitat	Link methodology	Body size methodology	Taxonomy consumer	Lifestage consumer	Common name(s) consumer	Metabolic category consumer	Type of feeding interaction	Minimum length (m) consumer	Mean length (m) consumer	Maximum length (m) consumer	Minimum mass (g) consumer	Mean mass (g) consumer	Maximum mass (g) consumer	Taxonomy resource	Lifestage - resource	Common name(s) resource	Metabolic category resource	Minimum length (m) resource	Mean length (m) resource	Maximum length (m) resource	Minimum mass (g) resource	Mean mass (g) resource	Maximum mass (g) resource	Consumer/resource body mass ratio	Notes		
14869	Jacob	 Brey & Mintenbeck unpublished	Jacob	 Brey & Mintenbeck unpublished	Antarctica: Eastern Weddell Sea	marine	Shelf	field; gut/stomach analysis	published account	Cassidulinoides parkerianus	adult	Foraminifera	invertebrate	herbivorous	0.00007	0.00013	0.00013	-999	-999	-999	Diatom	-999	Diatom	photo-autotroph	0.00001	0.00014	-999	-999	-999	-999	7610479.053	-999
14870	Jacob	 Brey & Mintenbeck unpublished	Jacob	 Brey & Mintenbeck unpublished	Antarctica: Eastern Weddell Sea	marine	Shelf	field; gut/stomach analysis	published account	Cassidulinoides parkerianus	adult	Foraminifera	invertebrate	detritivorous	0.00007	0.00013	0.00013	-999	-999	-999	Phytodetritus	-999	Phytodetritus	detritus	0	0.0001	-999	-999	-999	-999	27241890.95	-999
14871	Jacob	 Brey & Mintenbeck unpublished	Jacob	 Brey & Mintenbeck unpublished	Antarctica: Eastern Weddell Sea	marine	Shelf	field; gut/stomach analysis	published account	Cassidulinoides parkerianus	adult	Foraminifera	invertebrate	detritivorous	0.00007	0.00013	0.00013	-999	-999	-999	Sediment	-999	Sediment	detritus	0.00004	0.0005	-999	-999	-999	-999	61114.0315	-999
14872	Jacob	 Brey & Mintenbeck unpublished	Jacob	 Brey & Mintenbeck unpublished	Antarctica: Eastern Weddell Sea	marine	Shelf	field; gut/stomach analysis	published account	Cibicides refulgens	adult	Foraminifera	invertebrate	herbivorous	0.00007	0.00013	0.00013	-999	-999	-999	Diatom	-999	Diatom	photo-autotroph	0.00001	0.00014	-999	-999	-999	-999	7610479.053	-999
14873	Jacob	 Brey & Mintenbeck unpublished	Jacob	 Brey & Mintenbeck unpublished	Antarctica: Eastern Weddell Sea	marine	Shelf	field; gut/stomach analysis	published account	Cibicides refulgens	adult	Foraminifera	invertebrate	detritivorous	0.00007	0.00013	0.00013	-999	-999	-999	Phytodetritus	-999	Phytodetritus	detritus	0	0.0001	-999	-999	-999	-999	27241890.95	-999
14874	Jacob	 Brey & Mintenbeck unpublished	Jacob	 Brey & Mintenbeck unpublished	Antarctica: Eastern Weddell Sea	marine	Shelf	field; gut/stomach analysis	published account	Cibicides refulgens	adult	Foraminifera	invertebrate	detritivorous	0.00007	0.00013	0.00013	-999	-999	-999	Sediment	-999	Sediment	detritus	0.00004	0.0005	-999	-999	-999	-999	61114.0315	-999
14875	Jacob	 Brey & Mintenbeck unpublished	Jacob	 Brey & Mintenbeck unpublished	Antarctica: Eastern Weddell Sea	marine	Shelf	field; gut/stomach analysis	published account	Globocassidulina crassa	adult	Foraminifera	invertebrate	herbivorous	0.00007	0.00013	0.00013	-999	-999	-999	Diatom	-999	Diatom	photo-autotroph	0.00001	0.00014	-999	-999	-999	-999	7610479.053	-999
14876	Jacob	 Brey & Mintenbeck unpublished	Jacob	 Brey & Mintenbeck unpublished	Antarctica: Eastern Weddell Sea	marine	Shelf	field; gut/stomach analysis	published account	Globocassidulina crassa	adult	Foraminifera	invertebrate	detritivorous	0.00007	0.00013	0.00013	-999	-999	-999	Phytodetritus	-999	Phytodetritus	detritus	0	0.0001	-999	-999	-999	-999	27241890.95	-999
14877	Jacob	 Brey & Mintenbeck unpublished	Jacob	 Brey & Mintenbeck unpublished	Antarctica: Eastern Weddell Sea	marine	Shelf	field; gut/stomach analysis	published account	Globocassidulina crassa	adult	Foraminifera	invertebrate	detritivorous	0.00007	0.00013	0.00013	-999	-999	-999	Sediment	-999	Sediment	detritus	0.00004	0.0005	-999	-999	-999	-999	61114.0315	-999
14878	Jacob	 Brey & Mintenbeck unpublished	Jacob	 Brey & Mintenbeck unpublished	Antarctica: Eastern Weddell Sea	marine	Shelf	field; gut/stomach analysis	published account	Lenticulina antarctica	adult	Foraminifera	invertebrate	herbivorous	0.00007	0.00013	0.00013	-999	-999	-999	Diatom	-999	Diatom	photo-autotroph	0.00001	0.00014	-999	-999	-999	-999	7610479.053	-999
