node_id	species	metabolic_type	feeding_type	environment	feeding_mode	trophic_level	d15N	Mean_mass_g	mobility
1	Actinocyclus_actinochilus	Plant	Primary_producer	pelagic	Primary_producer	1.00	-0.23	4.06E-11	1
2	Actinocyclus_spiritus	Plant	Primary_producer	pelagic	Primary_producer	1.00	-0.23	1.64E-11	1
3	Adenocystis_utricularis	Plant	Primary_producer	pelagic	Primary_producer	1.00	-0.23	4.01E-12	1
4	Azpeitia_tabularis	Plant	Primary_producer	pelagic	Primary_producer	1.00	-0.23	1.14E-11	1
5	Banquisia_belgicae	Plant	Primary_producer	pelagic	Primary_producer	1.00	-0.23	4.01E-12	1
6	Chaetoceros_bulbosum_	Plant	Primary_producer	pelagic	Primary_producer	1.00	-0.23	6.04E-13	1
7	Chaetoceros_concavicornis	Plant	Primary_producer	pelagic	Primary_producer	1.00	-0.23	4.01E-12	1
8	Chaetoceros_criophilum	Plant	Primary_producer	pelagic	Primary_producer	1.00	-0.23	4.01E-12	1
9	Chaetoceros_dichaeta	Plant	Primary_producer	pelagic	Primary_producer	1.00	-0.23	6.04E-13	1
10	Chaetoceros_flexuosum	Plant	Primary_producer	pelagic	Primary_producer	1.00	-0.23	1.67E-12	1
11	Chaetoceros_neglectum	Plant	Primary_producer	pelagic	Primary_producer	1.00	-0.23	9.11E-14	1
12	Chaetoceros_pelagicus	Plant	Primary_producer	pelagic	Primary_producer	1.00	-0.23	6.04E-13	1
13	Chaetoceros_socialis	Plant	Primary_producer	pelagic	Primary_producer	1.00	-0.23	1.71E-13	1
14	Corethron_criophilum	Plant	Primary_producer	pelagic	Primary_producer	1.00	-0.23	4.01E-12	1
15	Coscinodiscus_oculoides	Plant	Primary_producer	pelagic	Primary_producer	1.00	-0.23	1.59E-09	1
16	Cylindrotheca_closterium	Plant	Primary_producer	pelagic	Primary_producer	1.00	-0.23	4.89E-11	1
17	Eucampica_antarctica	Plant	Primary_producer	pelagic	Primary_producer	1.00	-0.23	7.29E-12	1
18	Fragilariopsis_curta	Plant	Primary_producer	pelagic	Primary_producer	1.00	-0.23	9.11E-14	1
19	Fragilariopsis_cylindrus	Plant	Primary_producer	pelagic	Primary_producer	1.00	-0.23	1.53E-14	1
20	Fragilariopsis_kerguelensis	Plant	Primary_producer	pelagic	Primary_producer	1.00	-0.23	3.29E-13	1
21	Fragilariopsis_linearis	Plant	Primary_producer	pelagic	Primary_producer	1.00	-0.23	4.53E-13	1
22	Fragilariopsis_nana	Plant	Primary_producer	pelagic	Primary_producer	1.00	-0.23	4.53E-13	1
23	Fragilariopsis_obliquecostata	Plant	Primary_producer	pelagic	Primary_producer	1.00	-0.23	4.53E-13	1
24	Fragilariopsis_pseudonana	Plant	Primary_producer	pelagic	Primary_producer	1.00	-0.23	9.11E-14	1
25	Fragilariopsis_rhombica	Plant	Primary_producer	pelagic	Primary_producer	1.00	-0.23	4.53E-13	1
26	Fragilariopsis_ritscheri	Plant	Primary_producer	pelagic	Primary_producer	1.00	-0.23	4.53E-13	1
27	Fragilariopsis_separanda	Plant	Primary_producer	pelagic	Primary_producer	1.00	-0.23	6.04E-13	1
28	Fragilariopsis_sublinearis	Plant	Primary_producer	pelagic	Primary_producer	1.00	-0.23	1.50E-13	1
29	Fragilariopsis_vanheurckii	Plant	Primary_producer	pelagic	Primary_producer	1.00	-0.23	9.11E-14	1
30	Manguinea_fusiformis	Plant	Primary_producer	pelagic	Primary_producer	1.00	-0.23	1.97E-10	1
31	Manguinea_rigida	Plant	Primary_producer	pelagic	Primary_producer	1.00	-0.23	9.10E-12	1
32	Navicula_glaciei	Plant	Primary_producer	pelagic	Primary_producer	1.00	-0.23	2.26E-14	1
33	Navicula_schefterae	Plant	Primary_producer	pelagic	Primary_producer	1.00	-0.23	2.26E-14	1
34	Nitzschia_kerguelensis	Plant	Primary_producer	pelagic	Primary_producer	1.00	-3.44	5.73E-12	1
35	Nitzschia_lecointei	Plant	Primary_producer	pelagic	Primary_producer	1.00	-0.23	4.63E-11	1
36	Nitzschia_neglecta	Plant	Primary_producer	pelagic	Primary_producer	1.00	-0.23	9.11E-14	1
37	Odontella_weissfloggii	Plant	Primary_producer	pelagic	Primary_producer	1.00	-0.23	5.73E-12	1
38	Porosira_glacialis	Plant	Primary_producer	pelagic	Primary_producer	1.00	-0.23	2.94E-11	1
39	Porosira_pseudodenticulata	Plant	Primary_producer	pelagic	Primary_producer	1.00	-0.23	9.81E-11	1
40	Proboscia_alata	Plant	Primary_producer	pelagic	Primary_producer	1.00	-0.23	1.51E-12	1
41	Proboscia_inermi	Plant	Primary_producer	pelagic	Primary_producer	1.00	-0.23	9.94E-13	1
42	Proboscia_truncata	Plant	Primary_producer	pelagic	Primary_producer	1.00	-0.23	1.21E-11	1
43	Pseudo-Nitzschia_heimii	Plant	Primary_producer	pelagic	Primary_producer	1.00	-0.23	1.77E-10	1
44	Pseudo-Nitzschia_liniola	Plant	Primary_producer	pelagic	Primary_producer	1.00	-0.23	8.13E-10	1
45	Pseudo-Nitzschia_prolongatoides	Plant	Primary_producer	pelagic	Primary_producer	1.00	-0.23	3.74E-12	1
46	Pseudo-Nitzschia_subcurvata	Plant	Primary_producer	pelagic	Primary_producer	1.00	-0.23	2.22E-10	1
47	Rhizosolenia_antennata	Plant	Primary_producer	pelagic	Primary_producer	1.00	-0.23	7.78E-12	1
48	Stellarima_microtrias	Plant	Primary_producer	pelagic	Primary_producer	1.00	-0.23	1.01E-10	1
49	Thalassiosira_antarctica	Plant	Primary_producer	pelagic	Primary_producer	1.00	-6.34	1.14E-11	1
50	Thalassiosira_australis	Plant	Primary_producer	pelagic	Primary_producer	1.00	-0.23	2.57E-12	1
51	Thalassiosira_frenguelliopsis	Plant	Primary_producer	pelagic	Primary_producer	1.00	-0.23	3.54E-12	1
